Job_Title,Company,Experience,Skills
Data Science Associate,ZS,1-2 Yrs,"generative AI, Data Science, Retrieval Augmented Generation, Predictive Modeling, Logistic Regression, Artificial Intelligence, Natural Language Processing, Neural Networks"
Data Scientist - NLP Focused,Siemens,5-10 Yrs,"data scientist, rest, python, data analysis, natural language processing, forecasting, nltk, data mining"
Intern - Data Modeler,Crisil,0-2 Yrs,"semantic, python, modeling, rdbms, analytical, problem solving, er studio, dimensional modeling"
GEN AI/Data Scientist,Capgemini,5-10 Yrs,"Generative Ai, Python, Data Science, Machine Learning, Artificial Intelligence, Data, Machine, Science"
Data Engineer,Barclaycard Payments,3-5 Yrs,"hive, python, data analysis, data analytics, scala, data warehousing, microsoft azure, pyspark"
Advanced Data Science Consultant,ZS,6-9 Yrs,"data science, Data Engineering, Engineering Tools, Reinforcement Learning, Programming, Research, Analytics, R"
Data Scientist-Artificial Intelligence,IBM,8-9 Yrs,"data scientist, kubernetes, python, github, natural language processing, ai, react, bootstrap"
Lead Data Scientist - INDIA,Infosys,5-10 Yrs,"Data Science, Machine Learning, Python, Science, Machine, Data"
Data Governance Analyst,Barclaycard Payments,3-6 Yrs,"risk management, python, data analytics, data analysis, documentation, business strategy, data warehousing, data pipeline"
Pricing and Data Science Specialist,Sulzer,6-10 Yrs,"Pricing Analytics, Machine Learning, Python, Pricing Analysis, B2B, Advanced Analytics, Statistical Modeling, Data Analytics"
Lead Data Scientist- Gen AI,Fractal Analytics,10-16 Yrs,"Generative Ai, Natural Language Processing, Data Science, Tensorflow, Neural Networks, Bert, Machine Learning, Deep Learning"
LEAD DATA SCIENTIST,Coforge,6-11 Yrs,"algorithms, python, predictive analytics, big data technologies, machine learning, nosql, analytics, data quality"
Data Scientist + Machine Learning (5-10 Years),Infosys,5-10 Yrs,"Data Science, Machine Learning, Natural Language Processing, Deep Learning, Python, Data, Machine, Science"
AI Sr. Developer,Tata Consultancy Services,5-10 Yrs,"Data Science, Pytorch, Large Language Model, Python, Tensorflow, Artificial Intelligence, Advanced Analytics, Data Analytics"
GDS Consulting - AIA - Data Science - Manager,EY,8-11 Yrs,"Solution architecture, GIT, Consulting, Machine learning, Data processing, Analytics, Monitoring, Python"
Senior Data Scientist,Mastercard,6-9 Yrs,"data scientist, hive, python, project management, data analytics, technical leadership, ai, databricks"
Data Science Professional,Capgemini,4-8 Yrs,"data science, hive, nltk, numpy, deep learning, tensorflow, spacy, gcp"
Senior Data Analyst,EXL,2-6 Yrs,"python, data analysis, data management, data analytics, business requirements, data validation, data mining, bi"
Senior Data Scientist,Red Hat,4-7 Yrs,"data scientist, kubernetes, python, github, project management, data analytics, data analysis, natural language processing"
Data Scientist,EXL,2-5 Yrs,"Object oriented design, Data analysis, Testing tools, Machine learning, Data structures, Troubleshooting, JIRA, Technical support"
